Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/01/2021,0,"25,0","25,7","25,0","90,0","90,0","83,0","23,3","23,4","22,6","1009,4","1009,4","1008,6","0,0","111,0","2,9",,"0,0"
01/01/2021,100,"24,9","25,0","24,8","89,0","90,0","88,0","23,0","23,3","22,9","1009,8","1009,8","1009,4","0,2","130,0","1,6",,"0,0"
01/01/2021,200,"24,7","24,9","24,6","92,0","92,0","89,0","23,4","23,4","23,0","1010,8","1010,8","1009,8","0,0","138,0","1,9",,"0,0"
01/01/2021,300,"24,9","24,9","24,6","90,0","93,0","89,0","23,2","23,5","22,9","1010,9","1011,2","1010,8","0,2","160,0","1,8","1,80","0,0"
01/01/2021,400,,,,,,,,,,,,,,,,,
01/01/2021,500,,,,,,,,,,,,,,,,,
01/01/2021,600,,,,,,,,,,,,,,,,,
01/01/2021,700,,,,,,,,,,,,,,,,,
01/01/2021,800,,,,,,,,,,,,,,,,,
01/01/2021,900,,,,,,,,,,,,,,,,,
01/01/2021,1000,,,,,,,,,,,,,,,,,
01/01/2021,1100,,,,,,,,,,,,,,,,,
01/01/2021,1200,"28,4","28,4","25,2","78,0","91,0","77,0","24,3","24,6","23,4","1010,9","1010,9","1010,3","0,6","111,0","2,2","1021,80","0,0"
01/01/2021,1300,,,,,,,,,,,,,,,,,
01/01/2021,1400,,,,,,,,,,,,,,,,,
01/01/2021,1500,,,,,,,,,,,,,,,,,
01/01/2021,1600,,,,,,,,,,,,,,,,,
01/01/2021,1700,,,,,,,,,,,,,,,,,
01/01/2021,1800,,,,,,,,,,,,,,,,,
01/01/2021,1900,,,,,,,,,,,,,,,,,
01/01/2021,2000,,,,,,,,,,,,,,,,,
01/01/2021,2100,,,,,,,,,,,,,,,,,
01/01/2021,2200,,,,,,,,,,,,,,,,,
01/01/2021,2300,,,,,,,,,,,,,,,,,
02/01/2021,0,,,,,,,,,,,,,,,,,
02/01/2021,100,,,,,,,,,,,,,,,,,
02/01/2021,200,"24,8","24,8","24,6","95,0","95,0","94,0","23,9","23,9","23,6","1009,1","1009,2","1009,1","0,0","140,0","1,6","1,70","0,0"
02/01/2021,300,,,,,,,,,,,,,,,,,
02/01/2021,400,"24,6","24,7","24,6","95,0","95,0","95,0","23,7","23,8","23,7","1007,9","1008,4","1007,9","0,0","104,0","1,2","0,50","0,0"
02/01/2021,500,,,,,,,,,,,,,,,,,
02/01/2021,600,,,,,,,,,,,,,,,,,
02/01/2021,700,,,,,,,,,,,,,,,,,
02/01/2021,800,,,,,,,,,,,,,,,,,
02/01/2021,900,,,,,,,,,,,,,,,,,
02/01/2021,1000,,,,,,,,,,,,,,,,,
02/01/2021,1100,,,,,,,,,,,,,,,,,
02/01/2021,1200,,,,,,,,,,,,,,,,,
02/01/2021,1300,,,,,,,,,,,,,,,,,
02/01/2021,1400,,,,,,,,,,,,,,,,,
02/01/2021,1500,,,,,,,,,,,,,,,,,
02/01/2021,1600,"33,5","33,7","31,1","57,0","66,0","56,0","23,8","24,7","22,7","1007,3","1008,2","1007,3","2,0","104,0","5,8","2509,40","0,0"
02/01/2021,1700,,,,,,,,,,,,,,,,,
02/01/2021,1800,,,,,,,,,,,,,,,,,
02/01/2021,1900,,,,,,,,,,,,,,,,,
02/01/2021,2000,,,,,,,,,,,,,,,,,
02/01/2021,2100,,,,,,,,,,,,,,,,,
02/01/2021,2200,,,,,,,,,,,,,,,,,
02/01/2021,2300,,,,,,,,,,,,,,,,,
03/01/2021,0,,,,,,,,,,,,,,,,,
03/01/2021,100,,,,,,,,,,,,,,,,,
03/01/2021,200,,,,,,,,,,,,,,,,,
03/01/2021,300,,,,,,,,,,,,,,,,,
03/01/2021,400,,,,,,,,,,,,,,,,,
03/01/2021,500,,,,,,,,,,,,,,,,,
03/01/2021,600,,,,,,,,,,,,,,,,,
03/01/2021,700,,,,,,,,,,,,,,,,,
03/01/2021,800,,,,,,,,,,,,,,,,,
03/01/2021,900,,,,,,,,,,,,,,,,,
