Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
10/02/2021,0,"19,8","21,0","19,8","81,0","81,0","76,0","16,5","16,7","16,3","885,1","885,1","884,3","1,2","241,0","2,8",,"0,0"
10/02/2021,100,"20,9","20,9","19,7","79,0","89,0","79,0","17,0","18,3","16,4","886,0","886,0","885,1","1,1","117,0","2,1",,"0,0"
10/02/2021,200,"18,5","20,9","18,5","92,0","92,0","78,0","17,1","17,4","17,0","886,4","886,4","886,0","0,8","31,0","1,8",,"0,0"
10/02/2021,300,"17,8","18,5","17,8","94,0","94,0","92,0","16,9","17,2","16,6","886,1","886,4","886,1","0,6","44,0","1,3",,"0,0"
10/02/2021,400,"18,4","18,8","17,7","93,0","95,0","91,0","17,2","17,4","16,7","886,0","886,3","886,0","1,1","165,0","2,0",,"0,0"
10/02/2021,500,"17,9","18,9","17,8","93,0","93,0","90,0","16,8","17,4","16,4","885,4","886,0","885,4","1,1","134,0","2,6",,"0,0"
10/02/2021,600,"17,3","17,9","17,0","95,0","95,0","92,0","16,5","16,9","16,0","884,8","885,4","884,8","1,4","144,0","1,9",,"0,0"
10/02/2021,700,"16,9","17,8","16,9","95,0","96,0","94,0","16,1","16,9","16,1","884,5","884,8","884,5","0,6","48,0","1,9",,"0,0"
10/02/2021,800,"16,4","17,0","16,3","96,0","96,0","95,0","15,8","16,3","15,7","884,7","884,7","884,4","0,7","59,0","1,0",,"0,0"
10/02/2021,900,"16,3","16,5","16,0","97,0","97,0","96,0","15,7","15,9","15,4","885,1","885,1","884,7","0,3","35,0","1,0",,"0,0"
10/02/2021,1000,"17,4","17,4","15,9","97,0","97,0","97,0","16,9","16,9","15,3","885,6","885,6","885,1","0,4","63,0","1,3","78,90","0,0"
10/02/2021,1100,"20,9","21,0","17,5","81,0","97,0","81,0","17,5","18,7","17,2","886,3","886,3","885,6","1,1","357,0","1,9","837,20","0,0"
10/02/2021,1200,"22,6","22,7","20,8","74,0","81,0","71,0","17,7","18,2","17,0","886,6","886,6","886,3","1,6","43,0","2,9","1766,30","0,0"
10/02/2021,1300,"24,5","24,5","22,6","61,0","74,0","60,0","16,5","17,8","15,8","886,9","886,9","886,6","1,8","327,0","4,0","2633,40","0,0"
10/02/2021,1400,"25,1","25,6","23,8","58,0","63,0","53,0","16,1","16,9","14,3","886,7","887,0","886,7","1,5","48,0","4,2","2819,70","0,0"
10/02/2021,1500,"26,2","26,4","24,6","49,0","61,0","45,0","14,7","17,4","13,5","886,5","886,7","886,4","1,9","82,0","4,8","3614,70","0,0"
10/02/2021,1600,"26,6","27,2","25,7","48,0","55,0","43,0","14,6","16,3","12,4","885,7","886,4","885,7","1,9","54,0","5,6","3706,00","0,0"
10/02/2021,1700,"27,3","28,0","26,2","52,0","52,0","44,0","16,6","17,1","13,4","884,5","885,7","884,5","2,9","57,0","7,4","3266,30","0,0"
10/02/2021,1800,"27,3","27,8","25,9","48,0","56,0","47,0","15,2","17,7","15,0","883,8","884,5","883,8","3,4","60,0","7,6","2689,60","0,0"
10/02/2021,1900,"25,8","28,0","25,7","54,0","57,0","46,0","15,8","17,1","14,7","883,3","883,8","883,2","3,0","68,0","6,9","1601,30","0,0"
10/02/2021,2000,"24,9","25,8","24,9","54,0","59,0","50,0","14,8","16,7","14,4","883,1","883,6","883,1","2,6","64,0","6,1","529,30","0,0"
10/02/2021,2100,"22,8","24,9","22,8","73,0","73,0","53,0","17,8","17,8","14,6","883,5","883,6","883,0","2,0","331,0","5,4","115,70","0,0"
10/02/2021,2200,"22,1","22,8","22,1","77,0","78,0","73,0","18,0","18,1","17,7","884,5","884,5","883,5","0,8","294,0","3,6","17,60","0,0"
10/02/2021,2300,"21,5","22,1","21,4","80,0","81,0","77,0","17,9","18,6","17,5","885,6","885,6","884,4","0,6","273,0","3,4",,"0,0"
11/02/2021,0,"22,1","22,2","21,1","79,0","86,0","78,0","18,2","18,8","17,7","885,8","885,8","885,6","1,6","47,0","4,1",,"0,0"
11/02/2021,100,"21,9","22,1","21,9","81,0","81,0","79,0","18,4","18,5","18,2","886,5","886,5","885,7","1,2","47,0","4,0",,"0,0"
11/02/2021,200,"21,5","21,9","21,5","80,0","82,0","79,0","18,0","18,6","18,0","886,8","886,9","886,6","2,5","28,0","6,4",,"0,0"
11/02/2021,300,"20,1","21,6","20,1","89,0","89,0","80,0","18,2","18,2","17,8","886,5","886,9","886,5","1,3","291,0","6,4",,"0,0"
11/02/2021,400,"19,3","20,1","19,3","93,0","93,0","89,0","18,1","18,5","18,1","885,8","886,5","885,8","1,2","321,0","3,0",,"0,0"
11/02/2021,500,"19,4","19,4","19,1","92,0","93,0","92,0","18,0","18,1","18,0","885,7","885,8","885,6","1,9","323,0","3,1",,"0,0"
